ncols         304
nrows         152
xllcorner     0
yllcorner     0
cellsize      0.993421052631579
 0 1 0 0 0 0 0 0 0 0 0.172000005841255 1 0.992999970912933 0 0 0 0 0 0 0 0 0 0.949000000953674 0 0 0 0 0 0 1 0 0 0 0 0.25 0.642000019550323 1 1 0 0 0 0 0 0.270999997854233 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.625 0 0 0.742999970912933 0.638999998569489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.972000002861023 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.833000004291534 1 0.630999982357025 0.859000027179718 0.955999970436096 0 0 0 0 0 0 0 0 0 0 0 0 0.280000001192093 0 0 0.229000002145767 1 0.500999987125397 0 0 0	 0 1 0 0 0 0 0 0 0 0 0.172000005841255 1 0.992999970912933 0 0 0 0 0 0 0 0 0 0.949000000953674 0 0 0 0 0 0 1 0 0 0 0 0.25 0.642000019550323 1 1 0 0 0 0 0 0.270999997854233 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.625 0 0 0.742999970912933 0.638999998569489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.972000002861023 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.833000004291534 1 0.630999982357025 0.859000027179718 0.955999970436096 0 0 0 0 0 0 0 0 0 0 0 0 0.280000001192093 0 0 0.229000002145767 1 0.500999987125397 0 0 0
 0 0 0 0 0 0.333000004291534 0 0 0 0 0.5 0.688000023365021 0 0 0 0 0 0 0 0 0 0 0 0.272000014781952 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166999995708466 0 0 0 0 0 1 0 0 1 0 0 0 0.439999997615814 0 0 0 0 0 0 0.319000005722046 0 0 0 0 0 0 0 0 0.950999975204468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	 0 0 0 0 0 0.333000004291534 0 0 0 0 0.5 0.688000023365021 0 0 0 0 0 0 0 0 0 0 0 0.272000014781952 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166999995708466 0 0 0 0 0 1 0 0 1 0 0 0 0.439999997615814 0 0 0 0 0 0 0.319000005722046 0 0 0 0 0 0 0 0 0.950999975204468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
 1 1 0 0 0 0 0 0 0.785000026226044 0.703999996185303 0.916999995708466 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.179000005125999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.700999975204468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.848999977111816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.229000002145767 0 0	 1 1 0 0 0 0 0 0 0.785000026226044 0.703999996185303 0.916999995708466 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.179000005125999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.700999975204468 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.848999977111816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.229000002145767 0 0
 0.861000001430511 0 0 0 0.742999970912933 0.547999978065491 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166999995708466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.270999997854233 0 0 0.916999995708466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.535000026226044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.437999993562698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	 0.861000001430511 0 0 0 0.742999970912933 0.547999978065491 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.166999995708466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.270999997854233 0 0 0.916999995708466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.535000026226044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.437999993562698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0.535000026226044 0 0 0 0 0 0 0 0 0 0 0 0 0.194000005722046 0 0 0 0 0 0 0 0 0 0 0 0.236000001430511 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.583000004291534 0 0 0 0 0.98199999332428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.208000004291534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.72299998998642 0.472000002861023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.535000026226044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	 0.535000026226044 0 0 0 0 0 0 0 0 0 0 0 0 0.194000005722046 0 0 0 0 0 0 0 0 0 0 0 0.236000001430511 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.583000004291534 0 0 0 0 0.98199999332428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.208000004291534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.72299998998642 0.472000002861023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.535000026226044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.584999978542328 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.647000014781952 0 0 0 0 0.180999994277954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.347000002861023 0 0 0.333000004291534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.388999998569489 0 0 0 0 0 0 0 0.444000005722046 0 0 0	 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.584999978542328 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.647000014781952 0 0 0 0 0.180999994277954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.347000002861023 0 0 0.333000004291534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.388999998569489 0 0 0 0 0 0 0 0.444000005722046 0 0 0
 1 0 0 0 0.222000002861023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.777999997138977 0 0 0 0 0 0 0 0.507000029087067 0 0 0 0.493000000715256 0 1 1 1 0 0 0 0.507000029087067 0 0 0 0 0.324999988079071 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0.256999999284744 0 0 0 0 0.388999998569489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333000004291534 0 0 0 0 0 0 0.261000007390976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	 1 0 0 0 0.222000002861023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.777999997138977 0 0 0 0 0 0 0 0.507000029087067 0 0 0 0.493000000715256 0 1 1 1 0 0 0 0.507000029087067 0 0 0 0 0.324999988079071 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0.256999999284744 0 0 0 0 0.388999998569489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333000004291534 0 0 0 0 0 0 0.261000007390976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0.180999994277954 0 0 1 0 0 0 0.938000023365021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666999995708466 0 0 0 0 0 0 0 0 0 0 0.430999994277954 1 0 0 0 0 0.583000004291534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.404000014066696 0 0 0 0 0 0 0 0 0.513999998569489 0 0 0 0 0 0 0 0 0 0 0 0 0 0.615000009536743 0 0 0 0.666999995708466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.233999997377396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.712000012397766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	 0.180999994277954 0 0 1 0 0 0 0.938000023365021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666999995708466 0 0 0 0 0 0 0 0 0 0 0.430999994277954 1 0 0 0 0 0.583000004291534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.404000014066696 0 0 0 0 0 0 0 0 0.513999998569489 0 0 0 0 0 0 0 0 0 0 0 0 0 0.615000009536743 0 0 0 0.666999995708466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.233999997377396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.712000012397766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.610000014305115 0 0 0 0 0 0 0 0 0 0 1 0.535000026226044 0 0 0 0 0 0 0 0 0.446999996900558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.595000028610229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.976000010967255 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.527999997138977 0 0 0.437000006437302 0 0 0 0 0 0 0 0 0 0 0	 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.610000014305115 0 0 0 0 0 0 0 0 0 0 1 0.535000026226044 0 0 0 0 0 0 0 0 0.446999996900558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.595000028610229 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.976000010967255 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.527999997138977 0 0 0.437000006437302 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.194000005722046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0.486000001430511 0 0 0 0 0 0 0 0 0 0.705999970436096 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666999995708466 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0.625 0 0 0 0 0 0 0.521000027656555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333000004291534 0 0 0 0 0 0 0 0 0 0 0 0 0 0	 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.194000005722046 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0.486000001430511 0 0 0 0 0 0 0 0 0 0.705999970436096 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.666999995708466 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0.625 0 0 0 0 0 0 0.521000027656555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333000004291534 0 0 0 0 0 0 0 0 0 0 0 0 0 0
